Kategori_Laporan,Kategori_Pos,Pos_Pos,Rincian_Pos_Pos,Tanggal,Nilai
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2013-12-01,916843
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2014-08-01,654563
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2014-04-01,364171
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2014-12-01,958138
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2014-07-01,612590
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2014-06-01,543282
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2014-03-01,312195
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2014-05-01,488473
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2014-11-01,886485
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2014-10-01,832513
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2014-09-01,742893
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2015-01-01,124767
Neraca,Ekuitas,Laba/Rugi,Tahun berjalan,2015-02-01,190472
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2013-08-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2013-04-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2013-07-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2013-06-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2013-03-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2013-05-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2013-11-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2013-10-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2013-09-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2013-12-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2014-08-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2014-04-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2014-12-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2014-07-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2014-06-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2014-03-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2014-05-01,0
Neraca,Ekuitas,Laba/Rugi,Tahun-tahun lalu,2014-11-01,0
