Kategori_Laporan,Kategori_Pos,Pos_Pos,Rincian_Pos_Pos,Tanggal,Nilai
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2014-03-01,110713
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2014-05-01,177144
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2014-11-01,381805
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2014-10-01,338827
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2014-09-01,291787
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2015-01-01,64509
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2015-02-01,93161
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2013-08-01,-34173
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2013-04-01,-45874
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2013-07-01,-36492
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2013-06-01,-38651
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2013-03-01,-39445
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2013-05-01,-44089
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2013-11-01,-9498
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2013-10-01,-18029
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2013-09-01,-19474
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2013-12-01,1466
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2014-08-01,-13325
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2014-04-01,-23345
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2014-12-01,8806
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2014-07-01,-13067
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2014-06-01,-22983
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2014-03-01,-3657
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2014-05-01,-20325
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2014-11-01,-5654
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2014-10-01,-2242
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2014-09-01,-11345
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2015-01-01,18135
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Pendapatan (beban) pajak tangguhan,2015-02-01,19964
