Dates,variable,value
1998-11-09,IDX: Turnover: Value,695.4052
1998-11-10,IDX: Turnover: Value,432.4692
1998-11-11,IDX: Turnover: Value,426.5829
1998-11-12,IDX: Turnover: Value,454.9142
1998-11-13,IDX: Turnover: Value,187.7015
1998-11-16,IDX: Turnover: Value,127.1165
1998-11-18,IDX: Turnover: Value,390.4221
1998-11-19,IDX: Turnover: Value,378.4738
1998-11-20,IDX: Turnover: Value,493.1124
1998-11-23,IDX: Turnover: Value,553.6443
1998-11-24,IDX: Turnover: Value,793.3188
1998-11-25,IDX: Turnover: Value,410.1024
1998-11-26,IDX: Turnover: Value,337.4154
1998-11-27,IDX: Turnover: Value,288.821
1998-11-30,IDX: Turnover: Value,195.7259
1998-12-01,IDX: Turnover: Value,297.857
1998-12-02,IDX: Turnover: Value,289.2901
1998-12-03,IDX: Turnover: Value,198.6036
1998-12-04,IDX: Turnover: Value,215.9439
1998-12-07,IDX: Turnover: Value,255.9102
1998-12-08,IDX: Turnover: Value,259.5504
1998-12-09,IDX: Turnover: Value,185.082
1998-12-10,IDX: Turnover: Value,205.1343
1998-12-11,IDX: Turnover: Value,216.3751
1998-12-14,IDX: Turnover: Value,263.4208
1998-12-15,IDX: Turnover: Value,316.6044
1998-12-16,IDX: Turnover: Value,304.258
1998-12-17,IDX: Turnover: Value,304.0352
1998-12-18,IDX: Turnover: Value,163.6381
1998-12-21,IDX: Turnover: Value,124.5626
1998-12-22,IDX: Turnover: Value,224.3154
1998-12-23,IDX: Turnover: Value,171.4715
1998-12-24,IDX: Turnover: Value,81.82475
1998-12-28,IDX: Turnover: Value,74.63754
1998-12-29,IDX: Turnover: Value,88.39708
1998-12-30,IDX: Turnover: Value,179.0018
1999-01-04,IDX: Turnover: Value,69.99998
1999-01-05,IDX: Turnover: Value,191.4753
1999-01-06,IDX: Turnover: Value,524.5457
1999-01-07,IDX: Turnover: Value,849.4774
1999-01-08,IDX: Turnover: Value,376.4456
1999-01-11,IDX: Turnover: Value,235.4263
1999-01-12,IDX: Turnover: Value,212.0822
1999-01-13,IDX: Turnover: Value,651.0157
1999-01-14,IDX: Turnover: Value,291.1856
1999-01-15,IDX: Turnover: Value,700.5266
1999-01-25,IDX: Turnover: Value,244.6871
1999-01-26,IDX: Turnover: Value,285.8502
1999-01-27,IDX: Turnover: Value,273.1627
1999-01-28,IDX: Turnover: Value,269.8048
1999-01-29,IDX: Turnover: Value,272.7759
1999-02-01,IDX: Turnover: Value,305.6057
1999-02-02,IDX: Turnover: Value,184.2108
1999-02-03,IDX: Turnover: Value,301.7118
1999-02-04,IDX: Turnover: Value,354.5722
1999-02-05,IDX: Turnover: Value,156.1571
1999-02-08,IDX: Turnover: Value,223.4517
1999-02-09,IDX: Turnover: Value,232.2169
1999-02-10,IDX: Turnover: Value,142.3898
1999-02-11,IDX: Turnover: Value,230.3985
1999-02-12,IDX: Turnover: Value,192.2093
1999-02-15,IDX: Turnover: Value,65.86871
1999-02-16,IDX: Turnover: Value,44.55703
1999-02-17,IDX: Turnover: Value,71.14136
1999-02-18,IDX: Turnover: Value,73.97096
1999-02-19,IDX: Turnover: Value,149.4795
1999-02-22,IDX: Turnover: Value,36.4064
1999-02-23,IDX: Turnover: Value,95.11588
1999-02-24,IDX: Turnover: Value,265.2217
1999-02-25,IDX: Turnover: Value,92.61553
1999-02-26,IDX: Turnover: Value,117.8048
1999-03-01,IDX: Turnover: Value,96.2759
1999-03-02,IDX: Turnover: Value,124.9097
1999-03-03,IDX: Turnover: Value,140.0258
1999-03-04,IDX: Turnover: Value,116.1887
1999-03-05,IDX: Turnover: Value,103.6585
1999-03-08,IDX: Turnover: Value,137.2049
1999-03-09,IDX: Turnover: Value,118.1803
1999-03-10,IDX: Turnover: Value,109.559
1999-03-11,IDX: Turnover: Value,121.5866
1999-03-12,IDX: Turnover: Value,132.4064
1999-03-15,IDX: Turnover: Value,97.15809
1999-03-16,IDX: Turnover: Value,155.4597
1999-03-17,IDX: Turnover: Value,171.5517
1999-03-19,IDX: Turnover: Value,237.308
1999-03-22,IDX: Turnover: Value,159.2752
1999-03-23,IDX: Turnover: Value,148.7636
1999-03-24,IDX: Turnover: Value,146.221
1999-03-25,IDX: Turnover: Value,193.6816
1999-03-26,IDX: Turnover: Value,149.609
1999-03-29,IDX: Turnover: Value,192.6793
1999-03-30,IDX: Turnover: Value,119.5023
1999-04-01,IDX: Turnover: Value,137.3714
1999-04-05,IDX: Turnover: Value,103.3364
1999-04-06,IDX: Turnover: Value,88.27399
1999-04-07,IDX: Turnover: Value,123.4063
1999-04-08,IDX: Turnover: Value,264.9459
1999-04-09,IDX: Turnover: Value,381.6666
1999-04-12,IDX: Turnover: Value,372.7082
1999-04-13,IDX: Turnover: Value,281.0087
1999-04-14,IDX: Turnover: Value,298.8733
